timestamp,temperatura,precipitacao,radiacao,umidade,velocidade_vento,estacao
2024-05-04T00:00:00,24.84,0.00,2773.10,84.00,8.00,A701
2024-05-05T00:00:00,25.27,0.00,2810.90,76.00,6.40,A701
2024-05-06T00:00:00,24.29,0.00,2800.50,78.00,5.90,A701
2024-05-07T00:00:00,25.28,0.00,2728.00,76.00,5.50,A701
2024-05-08T00:00:00,25.04,0.00,2720.10,75.00,10.30,A701
2024-05-09T00:00:00,24.43,0.00,2335.70,75.00,8.80,A701
2024-05-10T00:00:00,23.81,0.00,2615.70,81.00,6.60,A701
2024-05-11T00:00:00,24.04,0.00,2678.80,82.00,10.10,A701
2024-05-12T00:00:00,24.78,0.00,2763.40,66.00,12.00,A701
2024-05-13T00:00:00,25.47,0.00,2619.30,49.00,14.50,A701
2024-05-14T00:00:00,20.44,1.20,727.20,89.00,5.60,A701
2024-05-15T00:00:00,17.71,0.00,403.80,83.00,5.30,A701
2024-05-16T00:00:00,21.33,0.00,2428.40,87.00,10.30,A701
2024-05-17T00:00:00,25.71,0.00,2610.80,62.00,10.00,A701
2024-05-18T00:00:00,23.93,0.00,2540.00,79.00,9.30,A701
2024-05-19T00:00:00,21.71,0.00,2081.20,81.00,5.40,A701
2024-05-20T00:00:00,21.29,0.20,2219.00,85.00,8.60,A701
2024-05-21T00:00:00,19.82,0.00,2121.00,83.00,6.20,A701
2024-05-22T00:00:00,21.69,0.00,2485.50,91.00,5.20,A701
2024-05-23T00:00:00,22.59,0.00,2584.70,83.00,9.60,A701
2024-05-24T00:00:00,21.45,2.00,1888.90,85.00,13.20,A701
2024-05-25T00:00:00,17.23,0.00,995.30,87.00,8.30,A701
2024-05-26T00:00:00,14.97,7.80,544.20,92.00,6.70,A701
2024-05-27T00:00:00,16.37,8.60,856.70,100.00,7.80,A701
2024-05-28T00:00:00,18.27,0.00,979.10,100.00,13.50,A701
2024-05-29T00:00:00,14.71,0.00,2627.40,79.00,9.00,A701
2024-05-30T00:00:00,14.02,0.00,2488.40,87.00,6.40,A701
2024-05-31T00:00:00,15.07,0.00,2592.50,88.00,8.30,A701
2024-06-01T00:00:00,17.60,0.00,2585.20,82.00,10.30,A701
2024-06-02T00:00:00,17.66,0.20,1944.40,91.00,3.70,A701
2024-06-03T00:00:00,19.05,0.00,2281.20,87.00,6.00,A701
2024-06-04T00:00:00,17.38,0.00,1146.20,89.00,7.80,A701
2024-06-05T00:00:00,18.42,0.00,2480.10,86.00,6.00,A701
2024-06-06T00:00:00,18.32,0.00,2427.20,95.00,4.20,A701
2024-06-07T00:00:00,19.28,0.20,2463.20,89.00,5.10,A701
2024-06-08T00:00:00,20.24,0.00,2459.60,84.00,4.90,A701
2024-06-09T00:00:00,20.52,0.00,2477.30,86.00,6.80,A701
2024-06-10T00:00:00,22.36,0.00,2482.20,61.00,9.40,A701
2024-06-11T00:00:00,20.62,0.00,2386.50,84.00,6.10,A701
2024-06-12T00:00:00,20.69,0.00,2478.80,82.00,6.20,A701
2024-06-13T00:00:00,20.12,0.00,2494.60,84.00,10.80,A701
2024-06-14T00:00:00,21.92,0.00,2420.50,57.00,10.60,A701
2024-06-15T00:00:00,21.50,0.00,2438.70,76.00,9.50,A701
2024-06-16T00:00:00,21.65,0.00,2396.90,81.00,6.30,A701
2024-06-17T00:00:00,22.32,0.00,2430.80,56.00,11.10,A701
2024-06-18T00:00:00,21.38,0.00,2446.30,58.00,9.50,A701
2024-06-19T00:00:00,20.99,0.00,2469.60,61.00,9.70,A701
2024-06-20T00:00:00,20.38,0.00,2480.40,69.00,7.40,A701
2024-06-21T00:00:00,19.33,0.00,2411.00,77.00,5.00,A701
2024-06-22T00:00:00,20.33,0.00,2384.80,77.00,9.20,A701
2024-06-23T00:00:00,21.76,0.00,2422.70,71.00,9.70,A701
2024-06-24T00:00:00,22.60,0.00,2336.10,75.00,11.30,A701
2024-06-25T00:00:00,18.75,0.20,400.70,89.00,5.90,A701
2024-06-26T00:00:00,21.17,0.00,2307.00,87.00,13.90,A701
2024-06-27T00:00:00,21.16,0.00,1677.90,83.00,9.90,A701
2024-06-28T00:00:00,20.36,0.00,1961.40,85.00,11.20,A701
2024-06-29T00:00:00,20.27,0.00,1979.00,84.00,7.50,A701
2024-06-30T00:00:00,13.95,0.00,206.50,86.00,5.90,A701
2024-07-01T00:00:00,13.75,0.00,742.70,89.00,7.00,A701
2024-07-02T00:00:00,16.54,0.20,2484.40,92.00,6.50,A701
2024-07-03T00:00:00,18.44,0.00,2412.50,98.00,8.70,A701
2024-07-04T00:00:00,20.25,0.00,1569.60,74.00,4.10,A701
2024-07-05T00:00:00,20.80,0.00,2524.40,79.00,5.40,A701
2024-07-06T00:00:00,18.15,0.00,2156.90,81.00,6.10,A701
2024-07-07T00:00:00,18.45,0.00,2343.80,90.00,10.00,A701
2024-07-08T00:00:00,15.18,2.60,989.40,91.00,7.30,A701
2024-07-09T00:00:00,13.49,4.80,352.40,98.00,5.10,A701
2024-07-10T00:00:00,16.96,5.00,1516.30,100.00,7.00,A701
2024-07-11T00:00:00,19.21,0.00,1962.10,94.00,3.90,A701
2024-07-12T00:00:00,17.14,0.00,1935.90,90.00,8.30,A701
2024-07-13T00:00:00,14.89,0.00,979.50,88.00,9.10,A701
2024-07-14T00:00:00,17.78,0.00,2491.30,90.00,9.80,A701
2024-07-15T00:00:00,16.18,0.00,2194.20,89.00,7.20,A701
2024-07-16T00:00:00,16.34,0.00,2524.00,90.00,7.50,A701
2024-07-17T00:00:00,18.23,0.00,2358.20,87.00,5.30,A701
2024-07-18T00:00:00,18.40,0.00,2497.30,84.00,7.60,A701
2024-07-19T00:00:00,16.46,0.00,2556.60,83.00,4.80,A701
2024-07-20T00:00:00,15.99,0.00,2649.50,95.00,4.90,A701
2024-07-21T00:00:00,17.02,0.00,2597.00,84.00,8.10,A701
2024-07-22T00:00:00,18.70,0.20,2626.90,87.00,8.70,A701
2024-07-23T00:00:00,18.37,0.00,2704.80,78.00,6.10,A701
2024-07-24T00:00:00,18.65,0.00,2644.50,66.00,8.60,A701
2024-07-25T00:00:00,18.90,0.00,2590.20,79.00,7.50,A701
2024-07-26T00:00:00,19.70,0.00,2529.60,72.00,6.40,A701
2024-07-27T00:00:00,19.83,0.00,2391.30,70.00,5.80,A701
2024-07-28T00:00:00,20.81,0.00,2524.00,75.00,10.60,A701
2024-07-29T00:00:00,19.59,0.00,2450.80,71.00,9.40,A701
2024-07-30T00:00:00,14.53,1.40,381.90,91.00,9.00,A701
2024-07-31T00:00:00,16.85,0.00,2654.50,85.00,10.50,A701
2024-08-01T00:00:00,18.39,0.00,2728.50,87.00,8.50,A701
2024-08-02T00:00:00,18.90,0.00,2705.70,87.00,7.20,A701
2024-08-03T00:00:00,20.73,0.00,2720.20,75.00,6.60,A701
2024-08-04T00:00:00,22.05,0.00,2632.80,75.00,9.40,A701
2024-08-05T00:00:00,22.94,0.00,2894.30,80.00,7.90,A701
2024-08-06T00:00:00,22.62,0.00,2676.90,70.00,5.70,A701
2024-08-07T00:00:00,22.92,0.00,2762.60,70.00,11.80,A701
2024-08-08T00:00:00,24.04,0.00,2656.10,49.00,9.90,A701
2024-08-09T00:00:00,19.39,1.00,285.70,86.00,8.80,A701
2024-08-10T00:00:00,11.67,7.40,942.10,92.00,7.60,A701
2024-08-11T00:00:00,12.68,0.00,2899.30,92.00,7.20,A701
2024-08-12T00:00:00,14.80,0.00,2934.10,57.00,11.90,A701
2024-08-13T00:00:00,11.00,0.00,2419.80,77.00,7.90,A701
2024-08-14T00:00:00,13.97,0.00,2747.60,84.00,9.60,A701
2024-08-15T00:00:00,18.61,0.20,2832.50,88.00,7.50,A701
2024-08-16T00:00:00,21.94,0.00,2780.10,74.00,5.90,A701
2024-08-17T00:00:00,23.14,0.00,2707.30,76.00,4.10,A701
2024-08-18T00:00:00,23.36,0.00,2836.10,66.00,4.80,A701
2024-08-19T00:00:00,23.80,0.00,2854.20,58.00,6.20,A701
2024-08-20T00:00:00,23.60,0.00,2694.10,80.00,8.40,A701
2024-08-21T00:00:00,20.49,0.00,2846.90,83.00,6.60,A701
2024-08-22T00:00:00,23.25,0.00,2842.50,77.00,9.00,A701
2024-08-23T00:00:00,24.35,0.00,2883.30,78.00,15.00,A701
2024-08-24T00:00:00,17.76,6.40,2293.70,90.00,11.20,A701
2024-08-25T00:00:00,12.45,1.40,347.20,89.00,9.00,A701
2024-08-26T00:00:00,11.42,0.20,3342.00,89.00,7.20,A701
2024-08-27T00:00:00,11.44,0.00,3244.80,84.00,8.40,A701
2024-08-28T00:00:00,13.78,0.00,3060.20,82.00,9.10,A701
2024-08-29T00:00:00,18.29,0.00,2960.40,88.00,5.70,A701
2024-08-30T00:00:00,21.87,0.00,3132.10,79.00,6.10,A701
2024-08-31T00:00:00,21.66,0.00,3053.80,72.00,6.50,A701
2024-09-01T00:00:00,22.67,0.00,3058.30,68.00,9.70,A701
2024-09-02T00:00:00,22.55,0.00,2468.30,80.00,6.30,A701
2024-09-03T00:00:00,21.65,0.00,2682.60,88.00,7.30,A701
2024-09-04T00:00:00,24.74,0.00,3011.90,81.00,9.10,A701
2024-09-05T00:00:00,21.82,0.00,2658.70,76.00,8.60,A701
2024-09-06T00:00:00,17.82,0.00,1930.30,83.00,9.20,A701
2024-09-07T00:00:00,22.66,0.00,2620.20,91.00,5.50,A701
2024-09-08T00:00:00,26.17,0.00,2569.50,77.00,5.30,A701
2024-09-09T00:00:00,26.01,0.00,2706.50,68.00,6.90,A701
2024-09-10T00:00:00,25.44,0.00,2895.30,50.00,9.10,A701
2024-09-11T00:00:00,26.41,0.00,3112.40,51.00,7.00,A701
2024-09-12T00:00:00,26.41,0.00,3183.20,52.00,10.00,A701
2024-09-13T00:00:00,26.39,0.00,2782.90,48.00,7.80,A701
2024-09-14T00:00:00,25.07,0.00,2819.70,58.00,7.60,A701
2024-09-15T00:00:00,19.37,0.00,1274.50,86.00,8.80,A701
2024-09-16T00:00:00,16.35,3.40,419.10,91.00,7.50,A701
2024-09-17T00:00:00,15.30,0.40,1523.60,92.00,8.80,A701
2024-09-18T00:00:00,16.86,0.00,1764.50,84.00,11.00,A701
2024-09-19T00:00:00,18.65,0.20,2035.40,88.00,9.60,A701
2024-09-20T00:00:00,22.91,0.20,3177.00,91.00,11.60,A701
2024-09-21T00:00:00,22.10,0.60,1907.00,83.00,13.10,A701
2024-09-22T00:00:00,23.80,0.00,3089.40,87.00,7.60,A701
2024-09-23T00:00:00,25.19,0.00,3292.30,75.00,9.60,A701
2024-09-24T00:00:00,25.29,0.00,3299.70,71.00,6.60,A701
2024-09-25T00:00:00,26.88,0.00,3357.00,73.00,7.30,A701
2024-09-26T00:00:00,28.38,0.00,3221.80,58.00,8.40,A701
2024-09-27T00:00:00,22.22,1.00,2637.00,81.00,10.50,A701
2024-09-28T00:00:00,18.07,0.00,3362.00,76.00,10.00,A701
2024-09-29T00:00:00,20.33,0.00,3481.40,80.00,8.60,A701
2024-09-30T00:00:00,23.01,0.00,3443.20,80.00,8.30,A701
2024-10-01T00:00:00,26.32,0.00,3080.00,73.00,9.30,A701
2024-10-02T00:00:00,26.80,0.00,3219.10,71.00,11.00,A701
2024-10-03T00:00:00,19.40,2.20,958.40,88.00,10.70,A701
2024-10-04T00:00:00,16.52,0.40,754.50,89.00,8.30,A701
2024-10-05T00:00:00,18.14,0.00,3858.80,86.00,9.30,A701
2024-10-06T00:00:00,19.60,0.00,3569.80,80.00,7.90,A701
2024-10-07T00:00:00,19.57,0.00,3466.90,78.00,9.30,A701
2024-10-08T00:00:00,20.92,0.00,3244.80,81.00,9.50,A701
2024-10-09T00:00:00,18.80,0.00,1752.10,87.00,9.60,A701
2024-10-10T00:00:00,20.49,0.20,2624.90,87.00,8.80,A701
2024-10-11T00:00:00,21.78,16.00,1881.80,97.00,20.70,A701
2024-10-12T00:00:00,21.74,1.20,3223.50,92.00,10.10,A701
2024-10-13T00:00:00,19.49,0.20,3472.00,87.00,10.40,A701
2024-10-14T00:00:00,19.55,0.00,3789.50,81.00,9.00,A701
2024-10-15T00:00:00,20.62,0.00,3423.80,81.00,8.70,A701
2024-10-16T00:00:00,22.50,0.00,3430.90,88.00,10.30,A701
2024-10-17T00:00:00,22.76,0.00,3609.70,79.00,8.90,A701
2024-10-18T00:00:00,20.59,0.00,3385.80,82.00,8.30,A701
2024-10-19T00:00:00,17.44,1.40,227.40,91.00,9.20,A701
2024-10-20T00:00:00,16.30,2.20,780.80,92.00,6.60,A701
2024-10-21T00:00:00,20.25,0.00,1742.30,91.00,7.90,A701
2024-10-22T00:00:00,24.40,0.00,2910.40,89.00,7.90,A701
2024-10-23T00:00:00,23.30,26.00,2388.70,92.00,8.70,A701
2024-10-24T00:00:00,23.17,9.20,3083.40,99.00,11.30,A701
2024-10-25T00:00:00,22.37,5.40,3597.50,89.00,14.60,A701
2024-10-26T00:00:00,24.21,0.00,2362.40,75.00,10.80,A701
2024-10-27T00:00:00,17.51,0.80,649.80,90.00,7.60,A701
2024-10-28T00:00:00,18.13,1.00,2005.30,89.00,7.90,A701
2024-10-29T00:00:00,20.00,0.00,1664.70,85.00,6.80,A701
2024-10-30T00:00:00,20.98,0.00,2857.50,85.00,9.20,A701
2024-10-31T00:00:00,20.30,0.00,3756.90,79.00,8.80,A701
2024-11-01T00:00:00,21.72,0.00,3683.70,78.00,9.20,A701
2024-11-02T00:00:00,21.73,3.80,2718.40,90.00,7.80,A701
2024-11-03T00:00:00,20.17,2.20,1007.70,92.00,7.70,A701
2024-11-04T00:00:00,19.95,2.00,1347.20,98.00,5.60,A701
2024-11-05T00:00:00,22.56,0.20,3257.10,91.00,7.70,A701
2024-11-06T00:00:00,22.90,13.20,3410.20,92.00,8.80,A701
2024-11-07T00:00:00,21.59,1.80,988.20,93.00,12.50,A701
2024-11-08T00:00:00,20.27,18.40,1192.10,96.00,9.20,A701
2024-11-09T00:00:00,18.43,0.20,986.60,91.00,7.70,A701
2024-11-10T00:00:00,18.80,0.00,3232.70,90.00,7.50,A701
2024-11-11T00:00:00,22.26,0.00,3947.50,83.00,10.50,A701
2024-11-12T00:00:00,22.95,0.00,3674.50,81.00,11.70,A701
2024-11-13T00:00:00,17.03,1.80,841.00,91.00,7.50,A701
2024-11-14T00:00:00,17.17,0.00,1525.50,87.00,7.90,A701
2024-11-15T00:00:00,19.55,0.20,3408.50,90.00,7.70,A701
2024-11-16T00:00:00,21.40,0.00,2119.70,88.00,7.10,A701
2024-11-17T00:00:00,22.14,0.00,3117.40,85.00,7.90,A701
2024-11-18T00:00:00,23.62,0.00,3277.20,87.00,7.90,A701
2024-11-19T00:00:00,23.09,0.00,3788.60,78.00,11.20,A701
2024-11-20T00:00:00,23.31,0.00,3577.20,82.00,8.80,A701
2024-11-21T00:00:00,21.63,0.00,1886.40,84.00,9.50,A701
2024-11-22T00:00:00,20.26,0.40,940.70,87.00,8.70,A701
2024-11-23T00:00:00,20.47,0.00,3220.80,83.00,10.00,A701
2024-11-24T00:00:00,18.71,0.00,2268.80,81.00,10.00,A701
2024-11-25T00:00:00,21.23,0.00,3691.90,80.00,12.40,A701
2024-11-26T00:00:00,24.53,0.00,3883.10,79.00,9.80,A701
2024-11-27T00:00:00,27.51,0.00,3636.30,68.00,10.40,A701
2024-11-28T00:00:00,27.16,2.40,3570.10,88.00,13.60,A701
2024-11-29T00:00:00,23.34,5.20,2274.00,90.00,9.40,A701
2024-11-30T00:00:00,24.57,0.00,2276.50,84.00,8.60,A701
2024-12-01T00:00:00,24.13,0.00,3730.20,85.00,9.30,A701
2024-12-02T00:00:00,24.64,4.80,2405.40,84.00,16.10,A701
2024-12-03T00:00:00,21.85,9.00,1078.00,91.00,8.30,A701
2024-12-04T00:00:00,19.08,0.00,875.20,86.00,9.00,A701
2024-12-05T00:00:00,20.57,16.20,2925.50,98.00,8.20,A701
2024-12-06T00:00:00,25.50,0.60,3753.20,99.00,12.60,A701
2024-12-07T00:00:00,27.16,0.00,3744.10,81.00,11.90,A701
2024-12-08T00:00:00,23.50,0.00,1391.10,80.00,7.00,A701
2024-12-09T00:00:00,23.55,0.00,1738.60,86.00,9.10,A701
2024-12-10T00:00:00,22.25,1.20,2650.70,91.00,13.70,A701
2024-12-11T00:00:00,20.22,0.00,3089.50,86.00,10.70,A701
2024-12-12T00:00:00,20.90,0.00,3331.60,82.00,8.50,A701
2024-12-13T00:00:00,21.69,0.00,2397.70,81.00,8.30,A701
2024-12-14T00:00:00,22.09,0.60,1791.90,84.00,12.40,A701
2024-12-15T00:00:00,23.57,0.60,3811.00,85.00,13.20,A701
2024-12-16T00:00:00,24.63,0.00,3490.60,78.00,19.40,A701
2024-12-17T00:00:00,22.30,0.00,3397.60,75.00,9.70,A701
2024-12-18T00:00:00,21.62,0.00,3662.10,78.00,9.10,A701
2024-12-19T00:00:00,23.75,0.00,3564.40,81.00,8.10,A701
2024-12-20T00:00:00,23.87,12.20,3312.70,93.00,20.50,A701
2024-12-21T00:00:00,22.36,10.40,2786.50,92.00,8.00,A701
2024-12-22T00:00:00,23.24,0.20,2689.10,92.00,7.90,A701
2024-12-23T00:00:00,21.67,2.40,1895.70,90.00,8.00,A701
2024-12-24T00:00:00,21.75,0.20,2256.40,88.00,10.30,A701
2024-12-25T00:00:00,23.78,2.80,3737.90,89.00,8.80,A701
2024-12-26T00:00:00,21.40,7.20,1526.70,93.00,8.10,A701
2024-12-27T00:00:00,21.38,12.80,1130.20,100.00,6.20,A701
2024-12-28T00:00:00,23.48,0.80,2905.30,91.00,13.70,A701
2024-12-29T00:00:00,22.74,0.20,3552.10,89.00,11.60,A701
2024-12-30T00:00:00,22.07,1.60,2985.20,90.00,8.50,A701
2024-12-31T00:00:00,22.52,0.20,3658.40,81.00,9.40,A701
2024-01-01T00:00:00,19.98,0.00,2458.50,91.00,N/A,A771
2024-01-02T00:00:00,21.22,0.00,3827.60,92.00,N/A,A771
2024-01-03T00:00:00,22.43,0.20,3325.90,95.00,N/A,A771
2024-01-04T00:00:00,20.53,2.00,1858.10,96.00,N/A,A771
2024-01-05T00:00:00,20.90,3.00,3912.60,96.00,N/A,A771
2024-01-06T00:00:00,21.10,0.40,3903.20,96.00,N/A,A771
2024-01-07T00:00:00,22.79,0.00,3586.90,91.00,N/A,A771
2024-01-08T00:00:00,25.02,1.00,3902.70,95.00,N/A,A771
2024-01-09T00:00:00,25.15,0.40,3746.40,95.00,N/A,A771
2024-01-10T00:00:00,26.02,4.60,3401.30,95.00,N/A,A771
